,,G10,,,,,,,,,,Asia,,,,,,,,,,,,Europe/Africa,,,,,,,,,,,Latin America,,,,,,Middle East,,,,,,,
,,USD,EUR,JPY,GBP,CAD,AUD,NZD,CHF,NOK,SEK,CNY,CNH,HKD,INR,IDR,MYR,PHP,SGD,KRW,TWD,THB,VND,BGN,CZK,HUF,ISK,KES,NGN,PLN,RON,RUB,ZAR,TRY,ARS,BRL,CLP,COP,MXN,PEN,BHD,ILS,JOD,KWD,OMR,QAR,SAR,AED
We,12/27/2017,1,1.1888,113.35,1.34,1.2655,0.7768,0.7057,0.9863,8.2721,8.2762,6.5564,6.5554,7.8104,64.1525,13561,4.0837,50.04,1.3396,1074.2,29.936,32.778,22706,1.645,21.814,260.88,105.48,103.1,360.58,3.5251,3.9107,57.7448,12.2684,3.8163,18.4375,3.317,616.94,2973.8,19.6893,3.2405,0.377099991,3.479000092,0.708999991,0.301959991,0.384950012,3.64109993,3.750200033,3.672699928
Tu,12/26/2017,1,1.1858,113.23,1.3374,1.2687,0.7728,0.704,0.9893,8.3091,8.3479,6.545,6.5415,7.8125,64.0788,,4.084,,1.3437,1076.15,29.95,32.792,22708,1.6491,21.7166,263.1,,,359.99,3.5419,3.9102,57.635,12.5098,3.8086,18.3341,3.3096,618.35,2965.27,19.8658,3.2405,0.377149999,3.489200115,0.708999991,0.302100003,0.384900004,3.64109993,3.750200033,3.672699928
Mo,12/25/2017,1,1.187,113.26,1.3371,1.2727,0.7717,0.7024,0.99,8.3114,8.327,6.5398,6.5545,7.8143,,,,,1.3439,,29.949,32.735,22708,1.6469,21.6993,262.72,,,360.49,3.5325,3.9059,57.9697,12.6119,3.8106,,,,,19.7481,,0.377130002,3.487499952,,0.302049994,0.384499997,,3.750099897,3.672699928
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,12/22/2017,1,1.1862,113.29,1.3363,1.2729,0.7709,0.7022,0.988,8.3181,8.3175,6.5773,6.567,7.8152,64.0425,13561,4.0798,50.14,1.3437,1079.7,29.964,32.747,22713,1.6489,21.7154,262.86,106.18,103.1,360.49,3.534,3.9104,58.379,12.6212,3.8093,18.0732,3.3376,622.59,2961.5,19.7498,3.2355,0.377149999,3.483099937,,0.302100003,0.384849995,,3.750200033,3.672600031
Th,12/21/2017,1,1.1874,113.33,1.3386,1.274,0.7702,0.7017,0.9885,8.3548,8.3793,6.5848,6.5664,7.8186,64.0625,13558,4.079,50.225,1.3436,1082.7,29.98,32.732,22707,1.6471,21.6637,262.93,105.96,103.1,360.39,3.534,3.9027,58.4753,12.7618,3.8184,17.9406,3.3067,620.98,2964.62,19.4644,3.2675,0.377099991,3.485699892,0.708999991,0.302040011,0.384849995,3.641299963,3.750099897,3.672600031
We,12/20/2017,1,1.1871,113.4,1.3376,1.2835,0.7667,0.7013,0.9869,8.4106,8.403,6.5785,6.5646,7.8231,64.1138,13579,4.074,50.295,1.3446,1080.9,29.994,32.728,22714,1.6475,21.6364,263.58,105.24,103.15,360.27,3.5417,3.8966,58.709,12.7224,3.82,17.7565,3.2965,620.5,2957.75,19.2212,3.268,0.377079993,3.493999958,0.708999991,0.302100003,0.384950012,3.640899897,3.750099897,3.672899961
Tu,12/19/2017,1,1.184,112.89,1.3385,1.2878,0.7663,0.6972,0.9849,8.3495,8.4079,6.6047,6.6062,7.8163,64.035,13577,4.081,50.39,1.3466,1084.9,29.986,32.68,22730,1.6518,21.688,264.44,105.89,103.15,359.99,3.5468,3.9014,58.7756,12.7068,3.8335,17.6199,3.2911,620.14,2971.42,19.2123,3.282,0.377079993,3.501699924,0.708999991,0.302100003,0.384990007,3.641299963,3.750200033,3.672800064
Mo,12/18/2017,1,1.1782,112.55,1.3383,1.2862,0.7664,0.6995,0.9857,8.3596,8.4363,6.6164,6.6088,7.8154,64.235,13582,4.0815,50.469,1.3472,1088.55,30.007,32.615,22708,1.66,21.798,266.02,105.57,103.16,359.99,3.5705,3.9176,58.6645,12.746,3.83,17.5685,3.2886,621.35,2977.41,19.0841,3.2804,0.377169997,3.504899979,0.708999991,0.301950008,0.38499999,3.640899897,3.750200033,3.673000097
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,12/15/2017,1,1.1749,112.6,1.332,1.2866,0.7646,0.6993,0.9905,8.3833,8.5041,6.6093,6.606,7.8119,64.045,13579,4.0795,50.45,1.3488,1089.38,29.986,32.513,22717,1.6646,21.8586,267.33,105.42,103.25,360.49,3.5828,3.9328,58.8097,13.0996,3.8622,17.5112,3.3019,636.2,2996.58,19.1175,3.294,0.377079993,3.514600039,,0.301950008,0.38499999,3.64109993,3.750299931,3.672800064
Th,12/14/2017,1,1.1778,112.39,1.3431,1.2797,0.7666,0.6983,0.9891,8.2978,8.4394,6.6093,6.6069,7.8087,64.345,13578,4.0845,50.46,1.3456,1088.95,30.003,32.5,22709,1.6606,21.817,266.87,105.3,103.3,360.49,3.586,3.9321,58.7699,13.512,3.887,17.4386,3.3352,638.52,2996.98,19.1381,3.243,0.377200007,3.520999908,0.708999991,0.301950008,0.38499999,3.641000032,3.750099897,3.673000097
We,12/13/2017,1,1.1826,112.54,1.342,1.2817,0.7637,0.7024,0.9854,8.325,8.4131,6.6195,6.614,7.8042,64.44,13585,4.0872,50.48,1.3465,1090.65,30.022,32.583,22708,1.6539,21.6965,265.94,104.61,103.25,360.33,3.566,3.9168,58.6355,13.4538,3.8121,17.3037,3.3175,646.73,3013.07,19.0092,3.2334,0.377400011,3.526200056,0.708999991,0.30219999,0.38499999,3.641000032,3.750200033,3.673000097
Tu,12/12/2017,1,1.1742,113.55,1.3318,1.2866,0.7558,0.6934,0.9916,8.3466,8.4206,6.6215,6.6279,7.8071,64.395,13569,4.0785,50.507,1.3521,1092.3,30.017,32.603,22706,1.6657,21.8285,267.42,105.21,,360.33,3.5858,3.9427,59.2926,13.6757,3.8479,17.3512,3.3194,653.92,3028.82,19.187,3.2335,0.377400011,3.548300028,0.708999991,0.30219999,0.38499999,3.640700102,3.750299931,3.673000097
Mo,12/11/2017,1,1.1769,113.56,1.3341,1.2856,0.7526,0.6912,0.9918,8.3824,8.5033,6.6186,6.6218,7.8063,64.37,13553,4.0765,50.365,1.3515,1092.2,30.023,,22726,1.6618,21.7633,267.35,104.63,103.15,359.91,3.5682,3.936,59.0067,13.6029,3.8364,17.2379,3.3036,655.81,3013.25,19.0584,3.2345,0.377149999,3.530499935,0.708999991,0.302210003,0.38499999,3.641499996,3.751300097,3.673000097
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,12/8/2017,1,1.1773,113.48,1.339,1.2848,0.7509,0.6847,0.9927,8.2942,8.4452,6.6209,6.6238,7.8061,64.4575,13548,4.0875,50.49,1.353,1093.5,30.009,32.662,22710,1.6614,21.7099,266.68,104.68,103.15,359.99,3.5664,3.9356,59.1496,13.6672,3.8353,,3.2938,654.75,,18.9292,,0.377400011,3.522900105,,0.301999986,0.38499999,3.641299963,3.750099897,3.673000097
Th,12/7/2017,1,1.1773,113.09,1.3474,1.2854,0.7511,0.6831,0.9944,8.3163,8.4861,6.6193,6.6249,7.807,64.57,13554,4.0875,50.65,1.3516,1093.45,30.024,32.63,22715,1.6612,21.726,267.5,104.5,102.85,359.99,3.575,3.932,59.1859,13.7334,3.8621,17.2811,3.2934,655.76,3010.85,18.9694,3.2354,0.377400011,3.517199993,0.708999991,0.301999986,0.384499997,3.641599894,3.750200033,3.673000097
We,12/6/2017,1,1.1796,112.29,1.3393,1.2789,0.7564,0.6883,0.9899,8.2722,8.4362,6.6149,6.6179,7.8134,64.5188,13539,4.0763,50.7,1.349,1093.45,30.006,32.612,22716,1.6581,21.7184,266.45,104.52,102.85,359.79,3.5713,3.926,59.2224,13.514,3.8501,17.2551,3.2351,654.4,3010.1,18.8687,3.2345,0.377400011,3.51609993,0.708999991,0.301849991,0.38499999,3.641000032,3.751199961,3.673000097
Tu,12/5/2017,1,1.1826,112.6,1.3443,1.2691,0.7607,0.6876,0.9874,8.262,8.3629,6.6193,6.6181,7.8167,64.385,13519,4.0665,50.623,1.3471,1085.85,29.988,,22716,1.6542,21.685,265.63,103.62,103,359.66,3.5584,3.9144,58.7367,13.4489,3.8444,17.2904,3.2424,653.82,2996.08,18.7703,3.2372,0.377400011,3.503999949,0.708999991,0.301849991,0.38499999,3.641000032,3.750200033,3.673000097
Mo,12/4/2017,1,1.1866,112.41,1.348,1.2673,0.7598,0.6859,0.985,8.3316,8.42,6.6198,6.6186,7.8182,64.3737,13526,4.063,50.665,1.3476,1088.85,30.031,32.612,22715,1.6486,21.5798,264.43,103.64,103.05,359.99,3.5453,3.9031,58.8001,13.5175,3.8747,17.3476,3.2453,648.45,2993.57,18.615,3.233,0.377200007,3.49029994,0.708999991,0.301849991,0.38499999,3.640899897,3.750299931,3.673000097
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,12/1/2017,1,1.1896,112.17,1.3477,1.2685,0.7613,0.6891,0.9762,8.2852,8.3532,6.6163,6.5984,7.8128,,,,50.28,1.3464,1086.4,30.017,32.61,22713,1.6441,21.5002,263.82,103.66,103.05,360.08,3.5425,3.8943,58.8983,13.738,3.9139,17.2255,3.2583,647.28,3001.91,18.6333,3.2345,0.377299994,3.485899925,,0.301670015,0.38499999,3.64109993,3.750299931,3.672899961
Th,11/30/2017,1,1.1904,112.54,1.3525,1.2897,0.7566,0.6832,0.9836,8.3188,8.3768,6.6091,6.6112,7.8099,64.4588,13526,4.091,,1.3477,1088.05,30,32.653,22718,1.643,21.431,263.05,102.99,103.1,359.89,3.5307,3.8996,58.4524,13.6981,3.92,17.3046,3.2683,648.73,3016.55,18.6284,3.2335,0.377400011,3.494800091,,0.30193001,0.38499999,3.641299963,3.750200033,3.673000097
We,11/29/2017,1,1.1847,111.93,1.3409,1.2865,0.757,0.6881,0.9846,8.2557,8.3689,6.6167,6.612,7.8091,64.32,13503,4.0817,50.27,1.347,1076.9,29.982,32.513,22715,1.6509,21.5179,263.38,103.47,103.1,359.99,3.5483,3.92,58.6192,13.6569,3.9617,17.4297,3.2442,643.64,3006.02,18.5648,3.2345,0.377600014,3.503799915,0.708999991,0.301699996,0.38499999,3.641299963,3.750200033,3.673000097
Tu,11/28/2017,1,1.184,111.48,1.3339,1.2815,0.7595,0.69,0.9842,8.2453,8.3511,6.6083,6.6082,7.8033,64.4113,13509,4.1025,50.36,1.3461,1084.25,29.996,32.563,22721,1.6517,21.5255,262.56,103.72,,359.92,3.5494,3.9196,58.3751,13.6616,3.9646,17.3707,3.2137,641.55,3000.87,18.5415,3.2335,0.377449989,3.507499933,0.708999991,0.301609993,0.384990007,3.64109993,3.750200033,3.673000097
Mo,11/27/2017,1,1.1898,111.09,1.3318,1.2769,0.7602,0.6912,0.9817,8.1522,8.3029,6.5992,6.5975,7.8003,64.5025,13517,4.114,50.52,1.3459,1088.6,29.997,32.65,22722,1.6439,21.383,261.4,102.96,103.2,359.99,3.5353,3.8996,58.4911,13.7587,3.9056,17.3175,3.2263,638.18,2986.7,18.5819,3.2363,0.377609998,3.501600027,0.708999991,0.301499993,0.38499999,3.641299963,3.750200033,3.673000097
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,11/24/2017,1,1.1933,111.53,1.3337,1.2712,0.7617,0.6876,0.9795,8.1302,8.2778,6.6018,6.5881,7.8078,64.7,13503,4.1163,50.71,1.3456,1085.3,29.999,32.675,22724,1.639,21.3375,261.65,102.85,103.35,360.49,3.5283,3.8905,58.3703,14.1585,3.9553,17.3561,3.2323,634.23,2982.4,18.5575,3.2374,0.377799988,3.507100105,,0.30219999,0.38499999,3.64109993,3.750200033,3.673000097
Th,11/23/2017,1,1.1851,111.22,1.3309,1.2713,0.7625,0.6891,0.9818,8.1368,8.2972,6.5835,6.579,7.8113,64.575,13513,4.108,50.675,1.3454,1085.4,30.004,32.677,22727,1.6504,21.459,263.71,103.57,103.2,359.93,3.5519,3.9257,58.4656,13.8834,3.92,17.4001,3.2225,635.18,2981.75,18.6241,3.2375,0.377799988,3.511399984,0.708999991,0.30219999,0.38499999,3.640899897,3.750200033,3.673000097
We,11/22/2017,1,1.1822,111.22,1.3325,1.2696,0.7617,0.6883,0.982,8.1537,8.338,6.6103,6.5967,7.8107,64.925,13525,4.1112,50.62,1.3471,1088.85,30.01,32.728,22721,1.6546,21.5516,264.81,104.28,103.35,359.99,3.5644,3.9341,58.4984,13.8218,3.9183,17.4298,3.2251,633.7,2977.18,18.6379,3.2365,0.377799988,3.510799885,0.708999991,0.302089989,0.385019988,3.641400099,3.750299931,3.673000097
Tu,11/21/2017,1,1.1738,112.45,1.3239,1.2778,0.7578,0.6829,0.9914,8.2129,8.4302,6.629,6.6271,7.8111,64.8938,13534,4.14,50.75,1.3545,1095.9,30.051,32.768,22713,1.666,21.7197,266.84,103.79,103.4,359.99,3.5962,3.9584,59.187,13.9684,3.9565,17.4867,3.2545,635.3,2994.9,18.7736,3.2365,0.377700001,3.515899897,0.708999991,0.302130014,0.385019988,3.640700102,3.750400066,3.673000097
Mo,11/20/2017,1,1.1733,112.62,1.3235,1.282,0.755,0.6809,0.9934,8.2912,8.4851,6.6372,6.6471,7.8109,65.09,13533,4.1495,50.79,1.3569,1100.6,30.093,32.772,22718,1.667,21.7694,266.33,103.58,103.7,359.99,3.6054,3.961,59.3522,14.0464,3.9289,,3.259,637.46,3014.45,18.9958,3.2385,0.377799988,3.516700029,0.708999991,0.301899999,0.385019988,3.641000032,3.750200033,3.673000097
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,11/17/2017,1,1.179,112.1,1.3215,1.2763,0.7564,0.6809,0.9891,8.2402,8.4277,6.626,6.6365,7.8116,65.015,13528,4.161,50.98,1.3561,1097.45,30.096,32.855,22714,1.6586,21.6868,264.56,103.5,103.25,359.99,3.5919,3.9296,59.0783,13.9981,3.876,17.4824,3.2592,626.85,3004.21,18.9173,3.2414,0.377849996,3.513499975,,0.303750008,0.385019988,,3.750200033,3.673000097
Th,11/16/2017,1,1.177,113.06,1.3195,1.2757,0.7588,0.6851,0.9941,8.2099,8.3986,6.6303,6.633,7.8099,65.3225,13542,4.176,50.875,1.3565,1101.55,30.156,32.958,22716,1.6617,21.7189,265.03,103.54,103.8,359.99,3.603,3.9404,59.6637,14.1567,3.8628,17.4803,3.2771,630.51,3015.89,19.0558,3.2463,0.37777999,3.516799927,0.708999991,0.303750008,0.385019988,3.641700029,3.750200033,3.673000097
We,11/15/2017,1,1.1791,112.88,1.3171,1.2764,0.7589,0.6877,0.9884,8.2448,8.4295,6.624,6.6327,7.8063,65.21,13534,4.1745,51.03,1.3567,1112.4,30.149,33.015,22714,1.6588,21.7455,264.82,103.31,103.8,359.49,3.5964,3.9329,60.2065,14.3849,3.8809,17.513,,633.28,3026.02,19.2509,3.2566,0.377849996,3.529099941,0.708999991,0.302089989,0.385019988,,3.750099897,3.673000097
Tu,11/14/2017,1,1.1798,113.46,1.3165,1.2731,0.7631,0.6876,0.9893,8.1804,8.395,6.6361,6.6367,7.8026,65.4187,13554,4.1935,51.18,1.3591,1118.1,30.175,33.075,22714,1.6578,21.701,264.29,103.79,103.75,358.99,3.5993,3.936,60.2283,14.3702,3.8862,17.4867,3.3151,631.97,3016.91,19.166,3.2435,0.377849996,3.53640008,0.708999991,0.302439988,0.385019988,3.641799927,3.750200033,3.673000097
Mo,11/13/2017,1,1.1667,113.62,1.3116,1.2733,0.7623,0.6903,0.9963,8.1649,8.3833,6.6405,6.6571,7.8015,65.4287,13552,4.1915,51.205,1.3618,1120.75,30.189,33.065,22715,1.6763,21.9046,267.25,103.74,103.6,355.99,3.6311,3.9871,59.3649,14.47,3.8706,17.5041,3.2792,630.3,,19.1284,3.2414,0.377900004,3.544800043,0.708999991,0.302599996,0.385010004,3.641200066,3.750499964,3.673000097
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,11/10/2017,1,1.1665,113.53,1.3196,1.2682,0.7661,0.6937,0.9961,8.134,8.3533,6.6409,6.6618,7.8024,65.1675,13529,4.1918,51.245,1.3602,1117.05,30.171,33.118,22715,1.6767,21.9077,267.11,103.61,103.57,355.49,3.6227,3.9961,59.2078,14.3773,3.8644,17.497,3.2838,630.89,3006.22,19.1017,3.2446,0.377849996,3.548599958,,0.302749991,0.385019988,,3.7506001,3.673000097
Th,11/9/2017,1,1.1642,113.47,1.3145,1.2683,0.768,0.6948,0.994,8.1325,8.378,6.6402,6.648,7.7994,64.9425,13515,4.2065,51.265,1.359,1115.55,30.179,33.107,22716,1.6799,21.9343,267.94,103.93,103.6,355.49,3.6346,3.9869,59.2997,14.2486,3.8677,17.51,3.2504,630.76,3011.75,19.0448,3.2425,0.377920002,3.527100086,0.708999991,0.302850008,0.385019988,,3.750799894,3.673000097
We,11/8/2017,1,1.1595,113.87,1.3116,1.2729,0.7678,0.6966,1.0001,8.1659,8.381,6.628,6.6322,7.7978,64.9575,13517,4.2292,51.305,1.3618,1115.5,30.184,33.12,22714,1.6868,22.0655,268.98,104.63,103.55,354.69,3.654,3.9878,59.2349,14.1504,3.8662,17.5209,3.2503,632.46,3020.13,19.0858,3.2464,0.377950013,3.511699915,0.708999991,0.302850008,0.385019988,3.641700029,3.750699997,3.673000097
Tu,11/7/2017,1,1.1587,114.01,1.3166,1.2777,0.7645,0.6901,0.9998,8.1714,8.3981,6.6405,6.641,7.8046,65.03,13514,4.2295,51.335,1.3641,1111.9,30.169,33.155,22716,1.688,22.0555,268.96,106.03,103.65,360.25,3.6625,3.9977,59.3528,14.2366,3.8865,17.6572,3.2731,634.44,3026.9,19.1499,3.2432,0.377950013,3.51699996,0.708999991,0.302830011,0.385019988,,3.751100063,3.673000097
Mo,11/6/2017,1,1.161,113.71,1.3171,1.2704,0.7691,0.6945,0.9974,8.1348,8.3979,6.6338,6.6251,7.8017,64.68,13523,4.2315,51.28,1.3615,1115.05,30.199,33.143,22736,1.6846,22.0175,267.86,106.04,103.55,360.33,3.65,3.9539,,14.0961,3.8291,,3.2526,633.26,,19.019,3.2389,0.377900004,3.507100105,0.708999991,0.30272001,0.385019988,,3.750200033,3.673000097
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fr,11/3/2017,1,1.1608,114.07,1.3077,1.2764,0.765,0.6907,1.0007,8.1762,8.4337,6.639,6.6365,7.8029,64.5475,13498,4.2365,51.21,1.3649,1113.75,30.169,33.123,22712,1.6847,22.1229,267.76,106.29,103.64,355.02,3.6566,3.9578,59.069,14.224,3.8875,17.6448,3.3141,634.58,3038.8,19.2032,3.2435,0.377999991,3.510699987,,0.302749991,0.385019988,,3.750099897,3.673000097
Th,11/2/2017,1,1.1658,114.08,1.3059,1.2809,0.7713,0.6913,0.9994,8.1357,8.3948,6.6093,6.6068,7.8011,64.6113,13551,4.2308,51.41,1.3591,1114.35,30.18,33.118,22716,1.6779,22.0284,266.66,105.96,103.75,360.4,3.6321,3.9449,58.1698,13.9719,3.7973,17.5276,,629.89,3033.46,18.982,3.2385,0.377759993,3.50819993,0.708999991,0.302740008,0.385019988,3.641499996,3.750200033,3.673000097
We,11/1/2017,1,1.1619,114.18,1.3245,1.2865,0.7676,0.6886,1.0033,8.1499,8.4014,6.602,6.609,7.8002,64.5975,13580,4.2315,,1.361,1114.4,30.169,33.128,22718,1.6836,22.0098,267.68,106.36,103.75,355.85,3.6432,3.9619,58.2892,14.0651,3.813,17.6096,3.2667,636.45,3056.7,19.0716,,0.377200007,3.512799978,0.708999991,0.302650005,0.38499999,3.641400099,3.750099897,3.673000097
Tu,10/31/2017,1,1.1646,113.64,1.3283,1.2888,0.7656,0.6847,0.9976,8.1689,8.3776,6.635,6.6324,7.8011,64.7462,13563,4.232,,1.3628,1120.4,30.168,33.223,22711,1.6794,22.035,267.38,105.46,103.7,358.66,3.6398,3.9519,58.3302,14.1272,3.7915,17.6522,3.2713,635.33,3040.5,19.1466,3.2505,0.377249986,3.520499945,0.708999991,0.302569985,0.38499999,3.640799999,3.750099897,3.673000097
Mo,10/30/2017,1,1.1651,113.18,1.3208,1.2833,0.7688,0.6876,0.9943,8.1512,8.3534,6.6465,6.6369,7.799,64.8512,13584,4.2378,51.63,1.3608,1124.75,30.199,33.247,22723,1.6788,22.0289,267.04,104.97,103.65,359.49,3.6474,3.9475,57.9706,14.0573,3.7842,17.6957,3.2806,638.84,3011.57,19.2397,3.25,0.377270013,3.523499966,0.708999991,0.302740008,0.384990007,3.641400099,3.750099897,3.673000097
